match_id,season,date,city,venue,match_type,team1,team2,toss_winner,toss_decision,winner,result,result_margin,super_over,method,target_runs,target_overs,player_of_match
335982,2008,2008-04-18,Bengaluru,M Chinnaswamy Stadium,League,Royal Challengers Bengaluru,Kolkata Knight Riders,Royal Challengers Bengaluru,field,Kolkata Knight Riders,runs,140,N,Standard,223.0,20.0,BB McCullum
335983,2008,2008-04-19,Chandigarh,Punjab Cricket Association IS Bindra Stadium,League,Punjab Kings,Chennai Super Kings,Chennai Super Kings,bat,Chennai Super Kings,runs,33,N,Standard,241.0,20.0,MEK Hussey
335984,2008,2008-04-19,Delhi,Arun Jaitley Stadium,League,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,bat,Delhi Capitals,wickets,9,N,Standard,130.0,20.0,MF Maharoof
335985,2008,2008-04-20,Mumbai,Wankhede Stadium,League,Mumbai Indians,Royal Challengers Bengaluru,Mumbai Indians,bat,Royal Challengers Bengaluru,wickets,5,N,Standard,166.0,20.0,MV Boucher
335986,2008,2008-04-20,Kolkata,Eden Gardens,League,Kolkata Knight Riders,Deccan Chargers,Deccan Chargers,bat,Kolkata Knight Riders,wickets,5,N,Standard,111.0,20.0,DJ Hussey
335987,2008,2008-04-21,Jaipur,Sawai Mansingh Stadium,League,Rajasthan Royals,Punjab Kings,Punjab Kings,bat,Rajasthan Royals,wickets,6,N,Standard,167.0,20.0,SR Watson
335988,2008,2008-04-22,Hyderabad,Rajiv Gandhi International Stadium,League,Deccan Chargers,Delhi Capitals,Deccan Chargers,bat,Delhi Capitals,wickets,9,N,Standard,143.0,20.0,V Sehwag
335989,2008,2008-04-23,Chennai,MA Chidambaram Stadium,League,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,Chennai Super Kings,runs,6,N,Standard,209.0,20.0,ML Hayden
335990,2008,2008-04-24,Hyderabad,Rajiv Gandhi International Stadium,League,Deccan Chargers,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,wickets,3,N,Standard,215.0,20.0,YK Pathan
335991,2008,2008-04-25,Chandigarh,Punjab Cricket Association IS Bindra Stadium,League,Punjab Kings,Mumbai Indians,Mumbai Indians,field,Punjab Kings,runs,66,N,Standard,183.0,20.0,KC Sangakkara
