batter,total_runs,innings_played,fours,sixes,strike_rate
V Kohli,8014,244,708,273,128.51
S Dhawan,6769,221,768,153,123.45
RG Sharma,6630,251,599,281,127.92
DA Warner,6567,184,663,236,135.43
SK Raina,5536,200,506,204,132.54
MS Dhoni,5243,228,363,252,132.84
AB de Villiers,5181,170,414,253,148.58
CH Gayle,4997,141,408,359,142.12
RV Uthappa,4954,197,481,182,126.15
KD Karthik,4843,233,466,161,131.35
KL Rahul,4689,122,400,187,131.05
AM Rahane,4642,171,479,103,120.32
F du Plessis,4571,138,422,166,133.07
SV Samson,4419,162,352,206,135.14
AT Rayudu,4348,185,359,173,124.58
G Gambhir,4217,151,492,59,119.67
SR Watson,3880,141,377,190,134.16
MK Pandey,3859,158,335,111,117.37
SA Yadav,3594,135,385,130,142.51
JC Buttler,3583,106,356,161,142.24
KA Pollard,3437,168,221,224,140.46
RR Pant,3297,110,298,154,143.6
YK Pathan,3222,153,263,161,138.05
Shubman Gill,3216,99,310,95,132.24
Q de Kock,3160,107,316,123,131.12
SS Iyer,3131,114,272,113,123.03
RA Jadeja,2959,180,215,107,124.43
WP Saha,2934,143,296,87,123.9
DA Miller,2924,123,207,134,134.68
BB McCullum,2882,109,293,130,126.85
PA Patel,2848,136,365,49,116.63
GJ Maxwell,2772,128,233,160,150.49
Yuvraj Singh,2754,126,218,149,124.78
V Sehwag,2728,104,334,106,148.83
MA Agarwal,2669,121,265,98,128.26
Ishan Kishan,2644,99,255,119,132.8
N Rana,2636,101,234,132,130.82
M Vijay,2619,105,247,91,118.61
HH Pandya,2534,128,189,137,139.69
SPD Smith,2495,93,226,60,124.81
SE Marsh,2489,69,269,78,130.11
AD Russell,2488,104,171,209,164.22
JH Kallis,2427,95,255,44,105.94
DR Smith,2385,88,245,117,132.28
RD Gaikwad,2380,65,217,91,133.63
SR Tendulkar,2334,78,296,29,114.19
RA Tripathi,2236,93,223,84,135.52
R Dravid,2174,82,269,28,113.35
KS Williamson,2132,76,187,64,122.95
AJ Finch,2092,90,214,78,123.35
AC Gilchrist,2069,80,239,92,133.05
JP Duminy,2029,75,126,79,120.77
MEK Hussey,1977,58,198,52,119.96
PP Shaw,1892,79,238,61,143.22
MP Stoinis,1866,88,150,91,136.6
DPMD Jayawardene,1808,78,200,40,118.79
N Pooran,1769,72,113,127,154.77
Mandeep Singh,1706,97,176,38,120.31
MK Tiwary,1695,83,156,40,113.83
KC Sangakkara,1687,68,195,27,118.47
AR Patel,1653,112,107,79,125.42
KH Pandya,1647,107,144,61,127.97
YBK Jaiswal,1607,52,199,64,146.76
JM Bairstow,1589,50,166,69,140.37
DJ Bravo,1560,110,120,66,125.1
D Padikkal,1559,64,170,42,117.84
NV Ojha,1554,94,121,79,114.26
SP Narine,1534,106,164,97,155.89
S Dube,1502,61,86,101,139.46
KK Nair,1496,68,161,39,125.5
SS Tiwary,1494,73,111,50,115.72
DJ Hooda,1466,96,96,61,125.3
S Badrinath,1441,65,154,28,115.74
EJG Morgan,1406,74,112,64,119.05
BJ Hodge,1400,63,122,43,121.42
Abhishek Sharma,1377,61,128,73,148.86
SC Ganguly,1349,56,137,42,101.73
CA Lynn,1329,42,132,66,136.45
VR Iyer,1326,49,121,61,132.6
DJ Hussey,1322,61,90,60,120.07
SO Hetmyer,1243,65,76,82,145.55
KM Jadhav,1208,81,102,40,119.37
R Parag,1173,58,84,60,129.04
MM Ali,1162,57,95,67,136.87
Tilak Varma,1156,38,90,58,139.28
TM Dilshan,1153,50,140,24,110.12
IK Pathan,1150,82,88,38,116.75
V Shankar,1115,58,80,45,125.28
ML Hayden,1107,32,121,44,131.94
M Vohra,1083,51,104,43,125.49
LMP Simmons,1079,29,109,44,122.89
B Sai Sudharsan,1034,25,95,32,134.29
LRPL Taylor,1017,54,66,46,120.07
R Tewatia,1013,65,84,47,128.55
KP Pietersen,1001,36,91,40,132.06
MC Henriques,1000,54,87,28,124.84
AK Markram,995,42,73,35,126.43
H Klaasen,993,32,56,64,161.99
Y Venugopal Rao,985,52,77,37,113.87
JA Morkel,975,67,61,55,136.94
A Symonds,974,36,74,41,124.71
CL White,971,45,76,38,125.45
LS Livingstone,939,39,66,66,154.19
BA Stokes,935,43,81,32,130.22
DP Conway,924,22,100,30,138.12
RK Singh,893,40,67,46,136.54
HH Gibbs,886,36,83,31,105.85
SM Curran,883,48,74,37,131.2
STR Binny,880,66,66,35,125.71
Harbhajan Singh,833,88,79,42,130.97
R Ashwin,800,89,61,28,114.61
RM Patidar,799,24,51,54,149.63
MS Bisla,798,39,93,23,108.28
Shakib Al Hasan,795,52,73,21,119.55
TM Head,772,25,76,40,168.56
ST Jayasuriya,768,30,84,39,134.03
P Simran Singh,756,34,78,41,143.18
GC Smith,739,29,94,9,106.95
JM Sharma,730,36,53,45,145.71
AD Mathews,724,41,44,29,120.87
C Green,707,28,62,32,149.79
TL Suman,676,39,55,26,115.16
AM Nayar,672,50,55,20,114.29
MR Marsh,665,36,48,38,125.0
GJ Bailey,663,36,59,19,120.11
TH David,659,35,38,46,158.03
E Lewis,654,26,62,36,131.06
PD Salt,653,21,74,34,169.61
A Badoni,634,35,46,24,125.54
PP Chawla,624,86,56,20,107.59
CH Morris,618,49,41,35,149.64
JJ Roy,614,21,75,21,133.48
JD Ryder,604,29,69,19,129.61
SN Khan,585,36,63,14,128.29
Abdul Samad,579,39,37,36,141.91
HM Amla,577,16,60,21,138.04
M Shahrukh Khan,553,37,35,37,133.9
Rashid Khan,545,58,39,38,153.52
CJ Anderson,538,29,40,31,123.39
Shahbaz Ahmed,536,37,28,25,114.78
RS Bopara,531,22,39,16,113.46
JP Faulkner,527,45,36,23,129.8
MK Lomror,527,35,33,30,135.48
PJ Cummins,515,39,33,34,143.45
M Manhas,514,38,43,10,105.76
Gurkeerat Singh,511,32,55,11,117.2
OA Shah,506,22,34,23,124.94
PC Valthaty,505,23,61,20,116.9
SW Billings,503,27,40,20,126.07
RR Rossouw,473,22,45,25,147.35
DT Christian,460,41,23,19,112.75
NLTC Perera,424,30,23,26,130.06
SA Asnodkar,423,19,56,10,120.17
Shashank Singh,423,19,33,25,155.51
