bowler,total_wickets,runs_conceded,balls_bowled,economy_rate
YS Chahal,205,4681,3628,7.74
PP Chawla,192,5179,3895,7.98
DJ Bravo,183,4436,3296,8.08
B Kumar,181,5051,4060,7.46
R Ashwin,180,5435,4679,6.97
SP Narine,180,4672,4146,6.76
A Mishra,174,4193,3444,7.3
SL Malinga,170,3486,2974,7.03
JJ Bumrah,168,3840,3185,7.23
RA Jadeja,160,4917,3895,7.57
Harbhajan Singh,150,4101,3496,7.04
Rashid Khan,149,3340,2901,6.91
UT Yadav,144,4442,3190,8.35
Sandeep Sharma,137,3758,2925,7.71
HV Patel,135,3215,2284,8.45
MM Sharma,132,3278,2308,8.52
Mohammed Shami,127,3486,2521,8.3
AR Patel,123,3824,3152,7.28
TA Boult,121,3286,2428,8.12
K Rabada,120,2652,1907,8.34
AD Russell,115,2691,1771,9.12
A Nehra,106,2537,1974,7.71
R Vinay Kumar,105,3041,2186,8.35
Z Khan,102,2860,2276,7.54
JD Unadkat,99,3219,2194,8.8
DW Steyn,97,2583,2282,6.79
CH Morris,96,2377,1801,7.92
SN Thakur,94,2908,1979,8.82
Mohammed Siraj,93,2894,2081,8.34
I Sharma,92,3255,2429,8.04
SR Watson,92,2742,2137,7.7
P Kumar,90,3342,2637,7.6
RP Singh,90,2417,1874,7.74
PP Ojha,89,2399,1945,7.4
Kuldeep Yadav,87,2413,1786,8.11
DS Kulkarni,86,2513,1876,8.04
JA Morkel,85,2409,1807,8.0
CV Varun,83,2042,1624,7.54
Imran Tahir,82,1729,1340,7.74
IK Pathan,80,2711,2113,7.7
DL Chahar,77,2243,1746,7.71
M Morkel,77,2136,1699,7.54
Arshdeep Singh,76,2097,1453,8.66
KH Pandya,76,2644,2183,7.27
KV Sharma,76,2130,1520,8.41
L Balaji,76,2083,1574,7.94
RD Chahar,75,2165,1697,7.65
Avesh Khan,74,2010,1390,8.68
KK Ahmed,74,1918,1345,8.56
MM Patel,74,1733,1382,7.52
MJ McClenaghan,71,1839,1346,8.2
R Bhatia,71,2059,1661,7.44
AB Dinda,69,2103,1589,7.94
KA Pollard,69,2200,1586,8.32
T Natarajan,67,2001,1401,8.57
JH Kallis,65,2348,1799,7.83
SK Trivedi,65,1944,1557,7.49
HH Pandya,64,2196,1485,8.87
M Muralitharan,64,1765,1581,6.7
PJ Cummins,63,1976,1370,8.65
Ravi Bishnoi,63,1861,1460,7.65
Shakib Al Hasan,63,1864,1515,7.38
MG Johnson,62,1740,1301,8.02
JP Faulkner,61,1849,1287,8.62
Mustafizur Rahman,61,1792,1353,7.95
A Nortje,60,1614,1097,8.83
S Kaul,58,1772,1238,8.59
SM Curran,58,1924,1234,9.35
SK Warne,57,1465,1223,7.19
JO Holder,53,1489,1049,8.52
S Gopal,52,1358,1000,8.15
MA Starc,51,1175,879,8.02
M Prasidh Krishna,50,1741,1231,8.49
JC Archer,48,1210,987,7.36
LH Ferguson,48,1451,1002,8.69
NM Coulter-Nile,48,1125,892,7.57
S Nadeem,48,1800,1444,7.48
SB Jakati,47,1474,1101,8.03
TG Southee,47,1774,1262,8.43
A Kumble,45,1089,983,6.65
RJ Harris,45,1085,865,7.53
S Aravind,45,1057,788,8.05
VR Aaron,44,1527,1065,8.6
MP Stoinis,43,1300,831,9.39
AJ Tye,42,1005,714,8.45
MC Henriques,42,1302,979,7.98
TU Deshpande,42,1275,831,9.21
YK Pathan,42,1443,1184,7.31
Iqbal Abdulla,40,1125,943,7.16
R Sharma,40,1100,935,7.06
S Sreesanth,40,1221,947,7.74
P Awana,39,1046,774,8.11
DT Christian,38,1218,922,7.93
PJ Sangwan,38,1267,905,8.4
DE Bollinger,37,716,600,7.16
GJ Maxwell,37,1311,965,8.15
M Markande,37,1081,737,8.8
MR Marsh,37,803,593,8.12
MS Gony,37,1317,925,8.54
Washington Sundar,37,1335,1064,7.53
Yuvraj Singh,36,1091,882,7.42
JR Hazlewood,35,830,622,8.01
M Ashwin,35,1182,898,7.9
MM Ali,35,900,770,7.01
PWH de Silva,35,758,557,8.17
WD Parnell,35,968,758,7.66
M Pathirana,34,617,503,7.36
P Negi,34,954,733,7.81
KK Cooper,33,789,600,7.89
R Tewatia,32,1117,866,7.74
M Kartik,31,1418,1182,7.2
NLTC Perera,31,1031,715,8.65
CJ Jordan,30,1111,717,9.3
CR Woakes,30,674,463,8.73
Shivam Mavi,30,958,687,8.37
A Zampa,29,562,425,7.93
AB Agarkar,29,1174,820,8.59
Azhar Mahmood,29,707,552,7.68
Umran Malik,29,785,519,9.08
A Singh,28,639,486,7.89
BA Stokes,28,1023,723,8.49
DL Vettori,28,894,785,6.83
DP Nannes,28,815,689,7.1
PV Tambe,28,866,674,7.71
Yash Dayal,28,933,615,9.1
AD Mathews,27,1095,807,8.14
Harmeet Singh,27,747,574,7.81
MF Maharoof,27,532,441,7.24
Mohsin Khan,27,698,507,8.26
DR Smith,26,825,557,8.89
B Lee,25,1126,916,7.38
Harpreet Brar,25,907,692,7.86
Harshit Rana,25,590,403,8.78
J Botha,25,818,709,6.92
L Ngidi,25,460,342,8.07
M Theekshana,25,814,631,7.74
Naveen-ul-Haq,25,602,407,8.87
R Dhawan,25,922,693,7.98
SK Raina,25,1139,930,7.35
AS Rajpoot,24,844,567,8.93
Mukesh Kumar,24,707,420,10.1
Navdeep Saini,24,968,682,8.52
Noor Ahmad,24,672,513,7.86
Yash Thakur,24,702,432,9.75
GB Hogg,23,585,466,7.53
JP Duminy,23,847,701,7.25
SW Tait,23,668,534,7.51
BW Hilfenhaus,22,497,390,7.65
Basil Thampi,22,862,539,9.6
STR Binny,22,763,611,7.49
Sohail Tanvir,22,275,265,6.23
AS Joseph,21,707,454,9.34
K Gowtham,21,825,599,8.26
RE van der Merwe,21,515,455,6.79
Shahbaz Ahmed,21,850,549,9.29
VY Mahesh,21,511,359,8.54
A Symonds,20,694,540,7.71
C Sakariya,20,610,460,7.96
M Jansen,20,732,487,9.02
AD Mascarenhas,19,365,310,7.06
Akash Madhwal,19,431,279,9.27
J Suchith,19,604,434,8.35
JP Behrendorff,19,563,379,8.91
KW Richardson,19,479,345,8.33
Mujeeb Ur Rahman,19,598,452,7.94
RP Meredith,19,621,415,8.98
VG Arora,19,598,418,8.58
A Ashish Reddy,18,400,270,8.89
Anureet Singh,18,636,430,8.87
BB Sran,18,767,516,8.92
CH Gayle,18,755,584,7.76
IC Pandey,18,609,469,7.79
NT Ellis,18,514,365,8.45
WPUJC Vaas,18,364,288,7.58
BJ Hodge,17,310,238,7.82
Bipul Sharma,17,581,436,8.0
CRD Fernando,17,306,249,7.37
C Green,16,675,462,8.77
D Wiese,16,447,307,8.74
Mukesh Choudhary,16,452,298,9.1
R Rampaul,16,319,278,6.88
Kartik Tyagi,15,720,458,9.43
LR Shukla,15,458,326,8.43
MJ Santner,15,428,370,6.94
Mohammad Nabi,15,527,419,7.55
RG Sharma,15,462,349,7.94
YA Abdulla,15,311,222,8.41
AC Thomas,14,416,327,7.63
DR Sams,14,528,389,8.14
JR Hopes,14,562,369,9.14
KR Sen,14,396,255,9.32
SJ Srivastava,14,444,306,8.71
CK Langeveldt,13,199,165,7.24
CR Brathwaite,13,384,266,8.66
G Coetzee,13,357,216,9.92
R Sai Kishore,13,259,191,8.14
RR Powar,13,538,443,7.29
S Lamichhane,13,297,211,8.45
ST Jayasuriya,13,396,301,7.89
TK Curran,13,432,252,10.29
Vijaykumar Vyshak,13,396,243,9.78
AN Ahmed,12,515,362,8.54
Ankit Sharma,12,453,375,7.25
BA Bhatt,12,408,303,8.08
GD McGrath,12,366,329,6.67
Joginder Sharma,12,421,272,9.29
Karanveer Singh,12,323,213,9.1
R McLaren,12,558,372,9.0
Umar Gul,12,198,153,7.76
VRV Singh,12,549,371,8.88
A Chandila,11,245,234,6.28
AB McDonald,11,263,188,8.39
Abhishek Sharma,11,396,278,8.55
CJ Anderson,11,525,315,10.0
DJG Sammy,11,354,244,8.7
J Little,11,341,236,8.67
J Theron,11,311,235,7.94
JL Pattinson,11,321,222,8.68
LS Livingstone,11,395,267,8.88
MA Wood,11,192,127,9.07
OC McCoy,11,255,180,8.5
Pankaj Singh,11,472,311,9.11
RS Bopara,11,301,213,8.48
S Badree,11,329,263,7.51
SM Pollock,11,307,280,6.58
TS Mills,11,349,218,9.61
B Laughlin,10,284,179,9.52
BCJ Cutting,10,430,288,8.96
DJ Hooda,10,535,384,8.36
K Kartikeya,10,334,241,8.32
Kamran Khan,10,248,177,8.41
Lalit Yadav,10,430,294,8.78
N Rana,10,253,185,8.21
SC Ganguly,10,370,280,7.93
Suyash Sharma,10,381,264,8.66
V Pratap Singh,10,300,211,8.53
AG Murtaza,9,322,269,7.18
AM Nayar,9,323,239,8.11
BE Hendricks,9,239,157,9.13
IS Sodhi,9,204,182,6.73
JDP Oram,9,362,244,8.9
JEC Franklin,9,225,155,8.71
KA Jamieson,9,271,179,9.08
KMA Paul,9,239,180,7.97
KP Appanna,9,291,222,7.86
MN Samuels,9,285,219,7.81
P Parameswaran,9,226,159,8.53
PVD Chameera,9,442,297,8.93
Rasikh Salam,9,341,207,9.88
SE Bond,9,225,191,7.07
SMSM Senanayake,9,211,195,6.49
Shahid Afridi,9,237,185,7.69
Simarjeet Singh,9,265,193,8.24
V Shankar,9,344,258,8.0
AA Chavan,8,339,255,7.98
Anand Rajan,8,206,162,7.63
BAW Mendis,8,306,248,7.4
DJ Hussey,8,485,323,9.01
I Udana,8,286,182,9.43
J Syed Mohammad,8,286,196,8.76
J Yadav,8,447,398,6.74
JD Ryder,8,314,241,7.82
JDS Neesham,8,342,222,9.24
KC Cariappa,8,349,224,9.35
Mohammad Asif,8,307,199,9.26
N Thushara,8,259,172,9.03
S Sandeep Warrier,8,257,176,8.76
SB Styris,8,278,222,7.51
T Thushara,8,164,144,6.83
A Mithun,7,477,312,9.17
AF Milne,7,339,217,9.37
AM Salvi,7,205,156,7.88
Akash Deep,7,324,175,11.11
B Stanlake,7,200,150,8.0
GC Viljoen,7,229,146,9.41
HF Gurney,7,239,169,8.49
KM Asif,7,232,143,9.73
KP Pietersen,7,218,180,7.27
M Ntini,7,257,213,7.24
MP Yadav,7,88,76,6.95
N Burger,7,152,105,8.69
P Amarnath,7,241,132,10.95
PC Valthaty,7,207,153,8.12
Swapnil Singh,7,241,165,8.76
Arshad Khan,6,282,153,11.06
B Akhil,6,246,193,7.65
C de Grandhomme,6,323,230,8.43
D Pretorius,6,242,166,8.75
DG Nalkande,6,150,89,10.11
DJ Willey,6,277,221,7.52
Fazalhaq Farooqi,6,229,162,8.48
JE Taylor,6,167,122,8.21
Jaskaran Singh,6,174,111,9.41
MG Bracewell,6,95,66,8.64
OF Smith,6,179,95,11.31
RR Raje,6,214,144,8.92
Ramandeep Singh,6,64,45,8.53
S Kaushik,6,304,210,8.69
S Randiv,6,223,180,7.43
S Tyagi,6,304,220,8.29
SS Cottrell,6,177,131,8.11
TL Suman,6,198,152,7.82
V Sehwag,6,236,138,10.26
VS Malik,6,268,212,7.58
Y Venugopal Rao,6,338,222,9.14
A Choudhary,5,144,108,8.0
AP Dole,5,114,73,9.37
AS Roy,5,191,142,8.07
Akash Singh,5,227,141,9.66
FH Edwards,5,160,150,6.4
Gurkeerat Singh,5,97,82,7.1
HR Shokeen,5,320,213,9.01
K Khejroliya,5,221,129,10.28
KL Nagarkoti,5,287,185,9.31
KMDN Kulasekara,5,122,107,6.84
M de Lange,5,171,116,8.84
O Thomas,5,85,63,8.1
PD Collingwood,5,101,90,6.73
R Shukla,5,217,130,10.02
RJW Topley,5,182,107,10.21
RV Gomez,5,130,97,8.04
S Dube,5,190,117,9.74
S Ladda,5,225,141,9.57
S Narwal,5,203,113,10.78
SB Wagh,5,147,108,8.17
Shoaib Ahmed,5,154,103,8.97
Shoaib Akhtar,5,54,46,7.04
TM Dilshan,5,368,275,8.03
Azmatullah Omarzai,4,194,131,8.89
D du Preez,4,56,43,7.81
DJ Muthuswami,4,108,84,7.71
DP Vijaykumar,4,205,159,7.74
LE Plunkett,4,228,154,8.88
Parvez Rasool,4,273,200,8.19
R Parag,4,307,181,10.18
R Shepherd,4,260,133,11.73
S Dhawan,4,72,49,8.82
SB Bangar,4,221,153,8.67
SH Johnson,4,155,99,9.39
Shivam Sharma,4,165,114,8.68
T Stubbs,4,29,25,6.96
V Kohli,4,371,264,8.43
WA Mota,4,98,75,7.84
Y Nagar,4,125,72,10.42
Yudhvir Singh,4,125,74,10.14
AL Menaria,3,144,113,7.65
Arjun Tendulkar,3,117,83,8.46
DAJ Bracewell,3,32,25,7.68
DJ Thornely,3,40,44,5.45
GHS Garton,3,136,97,8.41
Gagandeep Singh,3,142,84,10.14
JA Richardson,3,162,94,10.34
JJ van der Wath,3,134,76,10.58
JM Kemp,3,58,47,7.4
JW Hastings,3,66,61,6.49
K Santokie,3,91,51,10.71
L Ablish,3,76,45,10.13
Nithish Kumar Reddy,3,208,118,10.58
P Sahu,3,152,107,8.52
R Ninan,3,65,36,10.83
R Sathish,3,233,144,9.71
RJ Peterson,3,70,48,8.75
RS Hangargekar,3,60,43,8.37
SM Harwood,3,74,67,6.63
Sikandar Raza,3,146,88,9.95
T Shamsi,3,185,120,9.25
VR Iyer,3,145,84,10.36
A Badoni,2,37,25,8.88
A Flintoff,2,106,66,9.64
A Kamboj,2,115,68,10.15
A Uniyal,2,67,38,10.58
AK Markram,2,173,123,8.44
AU Rashid,2,91,60,9.1
Abdul Samad,2,113,55,12.33
Ankit Soni,2,145,112,7.77
C Nanda,2,58,50,6.96
D Kalyankrishna,2,88,50,10.56
DNT Zoysa,2,100,69,8.7
FA Allen,2,136,91,8.97
GD Phillips,2,40,31,7.74
JPR Scantlebury-Searles,2,89,45,11.87
K Yadav,2,85,54,9.44
KA Maharaj,2,39,36,6.5
KJ Abbott,2,182,102,10.71
LJ Wright,2,125,75,10.0
MA Khote,2,52,30,10.4
MJ Clarke,2,72,66,6.55
MJ Henry,2,183,105,10.46
Mayank Dagar,2,205,138,8.91
Mohammad Hafeez,2,71,63,6.76
ND Doshi,2,79,57,8.32
P Suyal,2,154,107,8.64
PH Solanki,2,39,36,6.5
RN ten Doeschate,2,94,83,6.8
SC Kuggeleijn,2,71,50,8.52
SD Chitnis,2,62,38,9.79
SM Boland,2,56,43,7.81
Sachin Baby,2,8,10,4.8
Shoaib Malik,2,87,58,9.0
TM Head,2,113,58,11.69
V Kaverappa,2,36,24,9.0
WG Jacks,2,100,55,10.91
A Nel,1,31,18,10.33
AA Jhunjhunwala,1,130,88,8.86
AA Noffke,1,41,25,9.84
AC Gilchrist,1,0,1,0.0
AJ Finch,1,67,44,9.14
AJ Hosein,1,41,24,10.25
AM Rahane,1,5,6,5.0
B Geeves,1,91,49,11.14
BMAJ Mendis,1,36,30,7.2
CJ McKay,1,60,42,8.57
CL White,1,86,46,11.22
D Brevis,1,8,3,16.0
D Jansen,1,53,28,11.36
D Salunkhe,1,80,51,9.41
DB Ravi Teja,1,28,18,9.33
DJ Mitchell,1,97,51,11.41
DJM Short,1,23,18,7.67
GH Vihari,1,48,43,6.7
GR Napier,1,28,24,7.0
GS Sandhu,1,86,48,10.75
IC Porel,1,42,26,9.69
KT Maphaka,1,90,39,13.85
L Wood,1,94,38,14.84
LA Carseldine,1,6,7,5.14
LB Williams,1,74,42,10.57
LI Meriwala,1,32,19,10.11
LMP Simmons,1,34,18,11.33
M Siddharth,1,72,58,7.45
MK Lomror,1,127,94,8.11
MK Tiwary,1,83,45,11.07
NB Singh,1,18,25,4.32
P Dubey,1,91,67,8.15
PM Sarvesh Kumar,1,42,31,8.13
R Powell,1,35,21,10.0
RG More,1,63,37,10.22
RJ Gleeson,1,72,51,8.47
S Vidyut,1,22,13,10.15
SA Abbott,1,104,59,10.58
SB Joshi,1,82,55,8.95
SE Rutherford,1,60,46,7.83
SS Agarwal,1,42,24,10.5
SS Mundhe,1,6,7,5.14
SS Sarkar,1,34,25,8.16
SSB Magala,1,52,37,8.43
Shashank Singh,1,25,19,7.89
T Henderson,1,41,36,6.83
TP Sudhindra,1,137,74,11.11
V Viyaskanth,1,90,60,9.0
Y Prithvi Raj,1,57,33,10.36
A Dananjaya,0,47,25,11.28
AA Kazi,0,21,13,9.69
AC Voges,0,76,56,8.14
AS Raut,0,45,30,9.0
AUK Pathan,0,63,41,9.22
Abdur Razzak,0,29,14,12.43
Aman Hakim Khan,0,13,6,13.0
Arshad Khan (2),0,25,13,11.54
Atharva Taide,0,4,1,24.0
B Chipli,0,20,6,20.0
BJ Rohrer,0,12,7,10.29
C Ganapathy,0,13,6,13.0
C Munro,0,15,12,7.5
CJ Dala,0,34,19,10.74
CJ Green,0,24,17,8.47
CK Kapugedera,0,49,17,17.29
DA Warner,0,2,2,6.0
DJ Harris,0,26,18,8.67
F du Plessis,0,16,6,16.0
FY Fazal,0,20,12,10.0
Gulbadin Naib,0,12,6,12.0
Gurnoor Brar,0,42,21,12.0
H Sharma,0,62,30,12.4
I Malhotra,0,23,6,23.0
JE Root,0,15,12,7.5
Jalaj S Saxena,0,27,18,9.0
K Goel,0,94,67,8.42
K Upadhyay,0,81,56,8.68
KAJ Roach,0,80,52,9.23
KR Mayers,0,59,46,7.7
KS Williamson,0,31,18,10.33
LPC Silva,0,21,6,21.0
LRPL Taylor,0,24,13,11.08
M Manhas,0,42,42,6.0
M Shahrukh Khan,0,16,12,8.0
M Vijay,0,49,37,7.95
MB Parmar,0,33,19,10.42
MG Neser,0,62,25,14.88
MJ Suthar,0,26,12,13.0
MW Short,0,25,25,6.0
Mandeep Singh,0,26,12,13.0
Mashrafe Mortaza,0,59,28,12.64
Mohit Rathee,0,29,12,14.5
Monu Kumar,0,20,16,7.5
N Wadhera,0,13,12,6.5
NA Saini,0,35,15,14.0
NJ Rimmington,0,20,18,6.67
NL McCullum,0,35,30,7.0
Naman Dhir,0,55,29,11.38
P Prasanth,0,18,6,18.0
P Ray Barman,0,56,24,14.0
R Goyal,0,34,24,8.5
R Ravindra,0,7,12,3.5
R Sanjay Yadav,0,23,14,9.86
RA Shaikh,0,11,6,11.0
RA Tripathi,0,12,6,12.0
RR Bhatkal,0,35,12,17.5
RR Bose,0,24,12,12.0
RS Gavaskar,0,8,6,8.0
RV Patel,0,22,20,6.6
RW Price,0,33,18,11.0
S Joseph,0,51,30,10.2
S Midhun,0,29,13,13.38
S Rana,0,18,16,6.75
S Sriram,0,49,18,16.33
SA Yadav,0,8,6,8.0
SN Khan,0,6,2,18.0
SPD Smith,0,5,2,15.0
SR Tendulkar,0,59,37,9.57
SS Iyer,0,7,6,7.0
SZ Mulani,0,57,33,10.36
Sumit Kumar,0,38,22,10.36
Sunny Gupta,0,47,19,14.84
Tejas Baroka,0,33,21,9.43
Tilak Varma,0,28,23,7.3
VS Yeligati,0,61,32,11.44
Vivrant Sharma,0,37,21,10.57
Y Gnaneswara Rao,0,7,6,7.0
YBK Jaiswal,0,6,1,36.0
